index,TR23 0PR,\N,None,\N.1,\N.2,\N.3,87897,15021,49.953605,-6.352647
574576,NE9 5SH,\N,None,\N,\N,\N,426488,560708,54.94034,-1.588076
574577,NE8 3UJ,\N,None,\N,\N,\N,426488,561683,54.949101,-1.587986
574578,NE7 7DQ,\N,None,\N,\N,\N,426488,567111,54.997877,-1.587487
574579,NE66 3BL,\N,None,\N,\N,\N,426488,613896,55.418268,-1.58312
574580,DH1 5XY,\N,None,\N,\N,\N,426489,545672,54.805224,-1.589435
574581,NE9 5SE,\N,None,\N,\N,\N,426489,560631,54.939648,-1.588067
574582,NE6 5BF,\N,None,\N,\N,\N,426489,565299,54.981594,-1.587638
574583,NE12 8RA,\N,None,\N,\N,\N,426489,568403,55.009494,-1.587367
574584,NE23 7BP,\N,None,\N,\N,\N,426489,573443,55.054775,-1.586887
574585,NE23 3TZ,\N,None,\N,\N,\N,426489,578351,55.098878,-1.586433
574586,NE65 0GU,\N,None,\N,\N,\N,426489,603563,55.325423,-1.584079
574587,DE12 8BH,\N,None,\N,\N,\N,426490,314043,52.723392,-1.609228
574588,DE15 9SL,\N,None,\N,\N,\N,426490,320601,52.782344,-1.6087
574589,DE65 6PQ,\N,None,\N,\N,\N,426490,331475,52.880092,-1.607822
574590,S36 1FZ,\N,None,\N,\N,\N,426490,398278,53.480563,-1.60231
574591,LS27 9JY,\N,None,\N,\N,\N,426490,429033,53.756989,-1.599705
574592,LS5 3BU,\N,None,\N,\N,\N,426490,435377,53.814007,-1.599162
574593,LS5 3JT,\N,None,\N,\N,\N,426490,435684,53.816767,-1.599136
574594,DL3 9SA,\N,None,\N,\N,\N,426490,515852,54.537249,-1.592112
574595,NE9 5QL,\N,None,\N,\N,\N,426490,560955,54.942559,-1.588022
574596,CV36 5DQ,\N,None,\N,\N,\N,426491,245245,52.104908,-1.614638
574597,LS16 5AP,\N,None,\N,\N,\N,426491,437549,53.833529,-1.598961
574598,DL3 9DW,\N,None,\N,\N,\N,426491,515462,54.533745,-1.592132
574599,DL3 9SR,\N,None,\N,\N,\N,426491,516062,54.539136,-1.592078
574600,DH2 3RP,\N,None,\N,\N,\N,426491,549230,54.837206,-1.589092
574601,SP11 8PR,\N,None,\N,\N,\N,426492,144592,51.199933,-1.622217
574602,LS27 8QG,\N,None,\N,\N,\N,426492,427632,53.744397,-1.599794
574603,LS27 8JB,\N,None,\N,\N,\N,426492,428012,53.747812,-1.599762
574604,DL2 2FG,\N,None,\N,\N,\N,426492,516684,54.544726,-1.592007
574605,DL16 6LL,\N,None,\N,\N,\N,426492,535365,54.712603,-1.590324
574606,NE12 7DR,\N,None,\N,\N,\N,426492,570455,55.027925,-1.587116
574607,NE23 6AA,\N,None,\N,\N,\N,426492,576264,55.080124,-1.586579
574608,CV5 9AG,\N,None,\N,\N,\N,426493,281896,52.434403,-1.611743
574609,S75 4AF,\N,None,\N,\N,\N,426493,406909,53.55814,-1.601538
574610,LS16 5AQ,\N,None,\N,\N,\N,426493,437902,53.836701,-1.5989
574611,SP5 2QZ,\N,None,\N,\N,\N,426494,123659,51.011706,-1.623719
574612,SN6 8LZ,\N,None,\N,\N,\N,426494,184951,51.562819,-1.619191
574613,DL3 8AH,\N,None,\N,\N,\N,426494,513659,54.517541,-1.592247
574614,SP11 9DD,\N,None,\N,\N,\N,426495,150860,51.256293,-1.621713
574615,LS12 4HN,\N,None,\N,\N,\N,426495,432576,53.788833,-1.599326
574616,DH6 5JL,93557,High,County to Town,01/08/2009,Yes,426495,537832,54.734781,-1.590064
574617,DH2 2AQ,\N,None,\N,\N,\N,426495,551783,54.860138,-1.588784
574618,NE9 7BF,\N,None,\N,\N,\N,426495,558314,54.918827,-1.588186
574619,NE9 5QD,\N,None,\N,\N,\N,426495,561229,54.945021,-1.587919
574620,NE9 5PR,\N,None,\N,\N,\N,426495,561463,54.947124,-1.587897
574621,NE23 1RH,\N,None,\N,\N,\N,426495,577364,55.090008,-1.58643
574622,DE15 0AW,\N,None,\N,\N,\N,426496,324020,52.813078,-1.608336
574623,DH1 3TY,\N,None,\N,\N,\N,426496,540402,54.757866,-1.589805
574624,NE12 8SH,\N,None,\N,\N,\N,426496,568749,55.012595,-1.587211
574625,NE66 3BS,1257279,Low,County to Town,22/12/2013,No,426496,614027,55.419445,-1.582981
574626,SO41 6EJ,\N,None,\N,\N,\N,426497,98022,50.781173,-1.625528
574627,WF4 4QQ,\N,None,\N,\N,\N,426497,417128,53.649988,-1.600613
574628,WF12 7SE,\N,None,\N,\N,\N,426497,423229,53.704823,-1.600094
574629,LS12 3JS,\N,None,\N,\N,\N,426497,433590,53.797946,-1.599209
574630,LS16 6AQ,\N,None,\N,\N,\N,426497,439735,53.853175,-1.598682
574631,DL5 7QX,\N,None,\N,\N,\N,426497,525558,54.624472,-1.591132
574632,NE23 3TH,\N,None,\N,\N,\N,426497,578315,55.098554,-1.586311
574633,NE63 8HZ,\N,None,\N,\N,\N,426497,587581,55.181815,-1.585449
574634,OX7 6LU,\N,None,\N,\N,\N,426498,218100,51.86086,-1.616624
574635,DE15 0AA,\N,None,\N,\N,\N,426498,324209,52.814776,-1.608291
574636,LS27 8HS,\N,None,\N,\N,\N,426498,427902,53.746823,-1.59968
574637,DL3 8AZ,\N,None,\N,\N,\N,426498,514328,54.523553,-1.592125
574638,NE62 5HT,\N,None,\N,\N,\N,426498,585493,55.163053,-1.585628
574639,LS27 0TE,\N,None,\N,\N,\N,426499,426471,53.733962,-1.599787
574640,DL3 0DN,\N,None,\N,\N,\N,426499,516285,54.54114,-1.591934
574641,DL16 6JX,\N,None,\N,\N,\N,426499,534828,54.707776,-1.590264
574642,CV35 7DU,\N,None,\N,\N,\N,426500,265617,52.288055,-1.61292
574643,DE4 2NJ,\N,None,\N,\N,\N,426500,365190,53.183153,-1.604915
574644,DE45 1PN,\N,None,\N,\N,\N,426500,370628,53.232033,-1.604465
574645,WF4 4PA,\N,None,\N,\N,\N,426500,417190,53.650545,-1.600562
574646,SN8 2DF,\N,None,\N,\N,\N,426501,175117,51.474399,-1.619827
574647,DE4 2NZ,1502193,Medium,County to Town,01/08/2009,Yes,426501,367464,53.203593,-1.604712
574648,S36 7JY,\N,None,\N,\N,\N,426501,404689,53.538186,-1.601604
574649,LS5 3HE,\N,None,\N,\N,\N,426501,435913,53.818824,-1.598949
574650,DL8 1ER,\N,None,\N,\N,\N,426501,488056,54.287452,-1.594413
574651,DL2 2FB,\N,None,\N,\N,\N,426501,516880,54.546487,-1.59185
574652,DH1 4AX,\N,None,\N,\N,\N,426501,542444,54.776216,-1.589542
574653,DH2 2TN,\N,None,\N,\N,\N,426501,551624,54.858709,-1.588705
574654,NE9 6LY,\N,None,\N,\N,\N,426501,559388,54.928477,-1.587994
574655,NE63 8XX,\N,None,\N,\N,\N,426501,586477,55.171895,-1.585489
574656,SP11 9QS,\N,None,\N,\N,\N,426502,151219,51.259518,-1.621575
574657,CV36 5DL,\N,None,\N,\N,\N,426502,244537,52.098555,-1.614521
574658,CV7 7DD,\N,None,\N,\N,\N,426502,278038,52.39972,-1.611915
574659,WF12 8RD,\N,None,\N,\N,\N,426502,421656,53.690685,-1.600152
574660,DL8 2EJ,\N,None,\N,\N,\N,426502,487759,54.284794,-1.594432
574661,DL8 2EH,\N,None,\N,\N,\N,426502,487812,54.285259,-1.59442
574662,DL3 8JS,\N,None,\N,\N,\N,426502,513776,54.518592,-1.592112
574663,DL3 8BA,\N,None,\N,\N,\N,426502,514223,54.52261,-1.592072
574664,DL3 9QL,\N,None,\N,\N,\N,426502,514781,54.527624,-1.592023
574665,DL2 2GR,\N,None,\N,\N,\N,426502,517015,54.5477,-1.591822
574666,DH2 3HF,\N,None,\N,\N,\N,426502,550267,54.846515,-1.588814
574667,NE9 5PS,\N,None,\N,\N,\N,426502,561325,54.945883,-1.587801
574668,NE6 1JN,\N,None,\N,\N,\N,426502,564710,54.976301,-1.587489
574669,NE6 5PP,\N,None,\N,\N,\N,426502,564943,54.978394,-1.587468
574670,NE7 7NL,\N,None,\N,\N,\N,426502,568293,55.008497,-1.587159
574671,NE12 8LX,\N,None,\N,\N,\N,426502,568948,55.014383,-1.587099
574672,NE23 6DG,\N,None,\N,\N,\N,426502,576516,55.082388,-1.586399
574673,NE65 0ES,\N,None,\N,\N,\N,426502,604293,55.331981,-1.583805
574674,LS27 8HG,\N,None,\N,\N,\N,426503,427586,53.743999,-1.599635
574675,DL16 6XD,\N,None,\N,\N,\N,426503,534447,54.704352,-1.590236
574676,DH2 2BH,\N,None,\N,\N,\N,426503,551430,54.856966,-1.588692
574677,NE9 7TT,\N,None,\N,\N,\N,426503,558685,54.92216,-1.588028
574678,NE23 6DE,\N,None,\N,\N,\N,426503,576643,55.083529,-1.586372
574679,NE62 5HR,\N,None,\N,\N,\N,426503,585375,55.161993,-1.585561
574680,SP11 9SF,\N,None,\N,\N,\N,426504,150576,51.253739,-1.621605
574681,CV36 5AN,\N,None,\N,\N,\N,426504,238003,52.039799,-1.615009
574682,DE15 0JW,\N,None,\N,\N,\N,426504,323284,52.806461,-1.608276
574683,LS27 8JU,\N,None,\N,\N,\N,426504,428131,53.748881,-1.59957
574684,LS27 8LY,\N,None,\N,\N,\N,426504,428306,53.750454,-1.599555
574685,DH1 4ND,\N,None,\N,\N,\N,426504,543141,54.782489,-1.589443
574686,NE9 7TQ,\N,None,\N,\N,\N,426504,558845,54.923598,-1.587997
574687,NE65 0DA,\N,None,\N,\N,\N,426504,604511,55.33394,-1.583753
574688,LS27 0DN,\N,None,\N,\N,\N,426505,426760,53.736559,-1.599672
574689,LS5 3RR,\N,None,\N,\N,\N,426505,435476,53.814896,-1.598926
574690,DL3 8AS,\N,None,\N,\N,\N,426505,514132,54.521792,-1.592034
574691,DH1 3QU,\N,None,\N,\N,\N,426505,541176,54.764821,-1.589595
574692,DH1 3UB,\N,None,\N,\N,\N,426505,541277,54.765729,-1.589586
574693,NE8 3PG,\N,None,\N,\N,\N,426505,562427,54.955786,-1.587653
574694,NE12 8QZ,\N,None,\N,\N,\N,426505,568593,55.0112,-1.587099
574695,NE22 5RX,\N,None,\N,\N,\N,426505,581419,55.126451,-1.585912
574696,NE22 5RZ,\N,None,\N,\N,\N,426505,581691,55.128889,-1.585872
574697,NE22 5BA,\N,None,\N,\N,\N,426505,582010,55.131756,-1.585842
574698,NE63 8JF,\N,None,\N,\N,\N,426505,587256,55.178895,-1.585354
574699,SN8 2EH,\N,None,\N,\N,\N,426506,176072,51.482986,-1.619683
574700,SN8 2EG,\N,None,\N,\N,\N,426506,176300,51.485036,-1.619666
574701,S36 1FG,\N,None,\N,\N,\N,426506,398364,53.481335,-1.602062
574702,DL3 9BL,\N,None,\N,\N,\N,426506,515249,54.53183,-1.591919
574703,NE9 7HY,\N,None,\N,\N,\N,426506,558224,54.918017,-1.588023
574704,NE9 7HZ,\N,None,\N,\N,\N,426506,558224,54.918017,-1.588023
574705,LS27 9EU,\N,None,\N,\N,\N,426507,427307,53.741475,-1.599595
574706,LS27 8TP,\N,None,\N,\N,\N,426507,428486,53.752072,-1.599494
574707,LS16 7AB,\N,None,\N,\N,\N,426507,440019,53.855727,-1.598505
574708,DL8 2AZ,\N,None,\N,\N,\N,426507,487519,54.282625,-1.594369
574709,DH2 2LP,\N,None,\N,\N,\N,426507,552223,54.864092,-1.588557
574710,NE7 7TL,\N,None,\N,\N,\N,426507,566260,54.990229,-1.587269
574711,NE23 6PT,\N,None,\N,\N,\N,426507,575512,55.073366,-1.586414
574712,NE23 1RW,\N,None,\N,\N,\N,426507,577660,55.092667,-1.586215
574713,B78 1NB,\N,None,\N,\N,\N,426508,301695,52.612389,-1.60995
574714,LS12 3DA,\N,None,\N,\N,\N,426508,433721,53.799123,-1.599031
574715,LS16 5AT,\N,None,\N,\N,\N,426508,437810,53.835874,-1.59868
574716,DL8 2QJ,\N,None,\N,\N,\N,426508,481100,54.224937,-1.594919
574717,DH1 5DT,\N,None,\N,\N,\N,426508,545299,54.801871,-1.589173
574718,NE9 5RD,\N,None,\N,\N,\N,426508,560508,54.938541,-1.587782
574719,NE23 7FA,608938,Low,County to Town,01/08/2009,No,426508,573636,55.056508,-1.586572
574720,NE65 0EX,\N,None,\N,\N,\N,426508,604386,55.332817,-1.583702
574721,CV35 8AA,\N,None,\N,\N,\N,426509,261770,52.25347,-1.613089
574722,LS27 8HA,\N,None,\N,\N,\N,426509,427731,53.745286,-1.599528
574723,DL3 9DY,\N,None,\N,\N,\N,426509,514985,54.529457,-1.591896
574724,DH1 4NA,\N,None,\N,\N,\N,426509,543095,54.782066,-1.589358
574725,DE6 3JJ,\N,None,\N,\N,\N,426510,350271,53.049049,-1.605992
574726,WF12 8PD,\N,None,\N,\N,\N,426510,421226,53.68682,-1.600068
574727,DL3 9RU,\N,None,\N,\N,\N,426510,515912,54.537788,-1.591798
574728,NE12 8QA,\N,None,\N,\N,\N,426510,568388,55.009358,-1.58704
574729,NE12 8QY,\N,None,\N,\N,\N,426510,568532,55.010645,-1.587012
574730,NE65 0DD,\N,None,\N,\N,\N,426510,604489,55.333742,-1.583661
574731,OX7 6LY,\N,None,\N,\N,\N,426511,218209,51.861839,-1.616427
574732,DE15 0JP,\N,None,\N,\N,\N,426511,323312,52.806713,-1.60817
574733,S36 8WR,\N,None,\N,\N,\N,426511,400489,53.500435,-1.601807
574734,LS12 4PF,\N,None,\N,\N,\N,426511,432169,53.78519,-1.599122
574735,LS5 3BX,\N,None,\N,\N,\N,426511,435295,53.813269,-1.59885
574736,NE8 3JZ,\N,None,\N,\N,\N,426511,562768,54.958849,-1.587528
574737,NE12 5SN,\N,None,\N,\N,\N,426511,571987,55.041691,-1.586677
574738,SN8 2DX,1728177,Medium,County to Town,22/12/2013,No,426512,175775,51.480315,-1.619619
574739,WF12 8PB,\N,None,\N,\N,\N,426512,421172,53.686334,-1.600042
574740,LS6 3LP,\N,None,\N,\N,\N,426512,436279,53.822113,-1.598751
574741,LS16 9JN,\N,None,\N,\N,\N,426512,442432,53.877414,-1.598222
574742,NE6 1AG,\N,None,\N,\N,\N,426512,564534,54.974719,-1.587349
574743,DE15 9SU,\N,None,\N,\N,\N,426513,320523,52.781641,-1.608366
574744,WF12 8QL,\N,None,\N,\N,\N,426513,421576,53.689966,-1.599992
574745,LS12 3HH,\N,None,\N,\N,\N,426513,433404,53.796273,-1.598982
574746,LS16 6HX,\N,None,\N,\N,\N,426513,438370,53.840906,-1.598556
574747,HG3 2BU,\N,None,\N,\N,\N,426513,457125,54.009468,-1.596936
574748,DL3 8BJ,\N,None,\N,\N,\N,426513,514375,54.523975,-1.591889
574749,DH1 5DN,\N,None,\N,\N,\N,426513,545586,54.80445,-1.589069
574750,NE12 8SJ,\N,None,\N,\N,\N,426513,568839,55.01341,-1.586951
574751,NE23 1RN,\N,None,\N,\N,\N,426513,577503,55.091256,-1.586135
574752,NE65 0ET,\N,None,\N,\N,\N,426513,604315,55.332178,-1.58363
574753,SP5 1NH,\N,None,\N,\N,\N,426514,130939,51.077167,-1.622903
574754,OX7 6LW,\N,None,\N,\N,\N,426514,218785,51.867018,-1.616339
574755,DE15 0LP,\N,None,\N,\N,\N,426514,322974,52.803674,-1.608153
574756,DL5 7QY,\N,None,\N,\N,\N,426514,525638,54.62519,-1.590862
574757,DH2 2EA,\N,None,\N,\N,\N,426514,551290,54.855707,-1.588533
574758,NE8 3PP,\N,None,\N,\N,\N,426514,562321,54.954833,-1.587522
574759,DL3 8TA,1533344,Medium,County to Town,01/08/2009,Yes,426515,513293,54.514262,-1.591964
574760,DH1 4QA,\N,None,\N,\N,\N,426515,542030,54.772504,-1.589372
574761,NE9 6PX,\N,None,\N,\N,\N,426515,559213,54.926904,-1.587792
574762,NE9 5PL,\N,None,\N,\N,\N,426515,560792,54.941093,-1.587647
574763,NE12 7DP,\N,None,\N,\N,\N,426515,570543,55.028715,-1.586748
574764,SO41 0GB,\N,None,\N,\N,\N,426516,95689,50.760193,-1.625426
574765,DL8 2QD,\N,None,\N,\N,\N,426516,481844,54.231623,-1.59473
574766,DH1 5SE,\N,None,\N,\N,\N,426516,543510,54.785795,-1.589212
574767,DH1 5DP,\N,None,\N,\N,\N,426516,545496,54.803641,-1.589031
574768,NE12 8NX,\N,None,\N,\N,\N,426516,569126,55.015982,-1.586864
574769,NE23 6PR,\N,None,\N,\N,\N,426516,575478,55.07306,-1.586276
574770,NE22 5QS,\N,None,\N,\N,\N,426516,582182,55.133301,-1.585654
574771,WF12 8QP,\N,None,\N,\N,\N,426517,421458,53.688905,-1.599942
574772,DL17 0NA,\N,None,\N,\N,\N,426517,529144,54.656697,-1.590499
574773,WF12 8PY,\N,None,\N,\N,\N,426518,421414,53.688509,-1.59993
574774,WF12 7RY,\N,None,\N,\N,\N,426518,423111,53.703762,-1.599786
574775,LS27 8NB,\N,None,\N,\N,\N,426518,428225,53.749726,-1.599349
574776,LS16 5AX,\N,None,\N,\N,\N,426518,437668,53.834597,-1.59854
574777,DL8 1EW,\N,None,\N,\N,\N,426518,488245,54.289149,-1.594136
574778,DL3 9RX,\N,None,\N,\N,\N,426518,515994,54.538524,-1.591667
574779,DL3 0JF,\N,None,\N,\N,\N,426518,516180,54.540196,-1.59165
574780,DH1 5BD,\N,None,\N,\N,\N,426518,544480,54.794511,-1.589092
574781,NE7 7QT,\N,None,\N,\N,\N,426518,567623,55.002476,-1.586971
574782,NE12 8RT,\N,None,\N,\N,\N,426518,568695,55.012109,-1.586872
574783,LS12 4HJ,\N,None,\N,\N,\N,426519,432646,53.78946,-1.598956
574784,LS16 7PJ,\N,None,\N,\N,\N,426519,440165,53.857039,-1.598311
574785,LS17 0EY,\N,None,\N,\N,\N,426519,446999,53.918475,-1.597727
574786,HG3 2HJ,\N,None,\N,\N,\N,426519,457767,54.015237,-1.596789
574787,DL8 2TJ,\N,None,\N,\N,\N,426519,484384,54.25445,-1.594461
574788,DH1 4LA,\N,None,\N,\N,\N,426519,541845,54.770832,-1.589317
574789,DH2 2LS,\N,None,\N,\N,\N,426519,552305,54.864828,-1.588363
574790,NE63 8XY,\N,None,\N,\N,\N,426519,586571,55.172739,-1.585198
574791,NE63 8JB,\N,None,\N,\N,\N,426519,587420,55.180367,-1.585119
574792,NE63 8JZ,\N,None,\N,\N,\N,426519,587809,55.183863,-1.585082
574793,S10 4QZ,\N,None,\N,\N,\N,426520,385863,53.368972,-1.602898
574794,LS27 8BP,\N,None,\N,\N,\N,426520,427767,53.745609,-1.599358
574795,LS27 8HR,\N,None,\N,\N,\N,426520,427873,53.746562,-1.599349
574796,LS27 8LT,\N,None,\N,\N,\N,426520,428559,53.752727,-1.599291
574797,LS12 3NR,\N,None,\N,\N,\N,426520,433812,53.79994,-1.598841
574798,DL8 2AS,\N,None,\N,\N,\N,426520,487874,54.285815,-1.594138
574799,DL8 1AA,\N,None,\N,\N,\N,426520,488368,54.290255,-1.594094
574800,NE6 1NW,\N,None,\N,\N,\N,426520,564218,54.971879,-1.587254
574801,NE6 1AW,\N,None,\N,\N,\N,426520,564492,54.974341,-1.587228
574802,NE12 8LY,\N,None,\N,\N,\N,426520,568921,55.014139,-1.58682
574803,NE63 8QQ,\N,None,\N,\N,\N,426520,587905,55.184725,-1.585058
574804,OX7 6LQ,\N,None,\N,\N,\N,426521,218623,51.865569,-1.616236
574805,B78 1LW,\N,None,\N,\N,\N,426521,301827,52.613575,-1.609748
574806,S36 1DE,\N,None,\N,\N,\N,426521,397806,53.476319,-1.601882
574807,WF4 4QF,\N,None,\N,\N,\N,426521,417037,53.649169,-1.600257
574808,NE9 6XS,\N,None,\N,\N,\N,426521,559951,54.933535,-1.58763
574809,NE23 6EA,\N,None,\N,\N,\N,426521,576134,55.078954,-1.586137
574810,CV36 5LY,\N,None,\N,\N,\N,426522,235924,52.021107,-1.614907
574811,LS16 6HS,\N,None,\N,\N,\N,426522,438458,53.841697,-1.598412
574812,LS16 6AX,\N,None,\N,\N,\N,426522,439462,53.85072,-1.598325
574813,HG4 5LD,118432,High,County to Town,01/02/2010,Yes,426522,477713,54.19451,-1.595009
574814,NE9 5PT,\N,None,\N,\N,\N,426522,561405,54.946601,-1.587481
574815,NE63 8HH,\N,None,\N,\N,\N,426522,587681,55.182712,-1.585047
574816,NE63 8HQ,\N,None,\N,\N,\N,426522,587681,55.182712,-1.585047
574817,SP11 9SD,\N,None,\N,\N,\N,426523,150625,51.254179,-1.621329
574818,LS27 8LS,\N,None,\N,\N,\N,426523,428577,53.752889,-1.599243
574819,DH1 5JW,\N,None,\N,\N,\N,426523,544276,54.792678,-1.589033
574820,DH2 3LG,\N,None,\N,\N,\N,426523,547588,54.82244,-1.588731
574821,NE9 5RT,\N,None,\N,\N,\N,426523,560337,54.937004,-1.587564
574822,NE9 5PX,\N,None,\N,\N,\N,426523,560886,54.941937,-1.587513
574823,NE63 8XZ,\N,None,\N,\N,\N,426523,586687,55.173781,-1.585124
574824,SN8 2EA,\N,None,\N,\N,\N,426524,175963,51.482005,-1.619432
574825,OX7 6LT,\N,None,\N,\N,\N,426524,218133,51.861155,-1.616244
574826,LS12 4HG,\N,None,\N,\N,\N,426524,432461,53.787797,-1.598896
574827,LS12 3NN,\N,None,\N,\N,\N,426524,433815,53.799967,-1.59878
574828,NE9 6YW,\N,None,\N,\N,\N,426524,559890,54.932987,-1.587589
574829,OX7 6TD,\N,None,\N,\N,\N,426525,225835,51.930401,-1.615639
574830,CV35 9GZ,\N,None,\N,\N,\N,426525,256245,52.203799,-1.613287
574831,LS12 5NJ,\N,None,\N,\N,\N,426525,431772,53.781605,-1.59894
574832,DH2 2EB,\N,None,\N,\N,\N,426525,551111,54.854098,-1.588378
574833,NE8 3AH,\N,None,\N,\N,\N,426525,563550,54.965876,-1.587237
574834,NE63 8XS,\N,None,\N,\N,\N,426525,586730,55.174167,-1.585089
574835,SP11 9SG,\N,None,\N,\N,\N,426526,150519,51.253226,-1.621294
574836,S36 1LE,\N,None,\N,\N,\N,426526,398570,53.483186,-1.601743
574837,LS27 0QP,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574838,LS27 0XD,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574839,LS27 1AB,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574840,LS27 1AD,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574841,LS27 1BF,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574842,LS27 1BN,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574843,LS27 1BZ,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574844,LS27 1DA,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574845,LS27 1DD,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574846,LS27 1DN,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574847,LS27 1DZ,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574848,LS27 1EN,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574849,LS27 1ES,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574850,LS27 1ET,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574851,LS27 1EY,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574852,LS27 7ZR,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574853,LS27 7ZS,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574854,LS27 7ZT,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574855,LS27 8TB,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574856,LS27 8ZE,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574857,LS27 9RE,\N,None,\N,\N,\N,426526,427540,53.743568,-1.599287
574858,NE6 5AP,\N,None,\N,\N,\N,426526,565217,54.980855,-1.587068
574859,LS12 3HX,\N,None,\N,\N,\N,426527,433439,53.796587,-1.598767
574860,LS12 3JJ,\N,None,\N,\N,\N,426527,433633,53.798331,-1.59875
574861,DL2 2FD,\N,None,\N,\N,\N,426527,516749,54.545308,-1.59146
574862,DH2 2JU,\N,None,\N,\N,\N,426527,552062,54.862644,-1.58826
574863,NE9 7TS,\N,None,\N,\N,\N,426527,558579,54.921206,-1.587663
574864,NE6 1LL,\N,None,\N,\N,\N,426527,564245,54.972121,-1.587142
574865,B78 1SU,\N,None,\N,\N,\N,426528,299851,52.595811,-1.609802
574866,DL5 7BQ,\N,None,\N,\N,\N,426528,524616,54.616006,-1.590737
574867,DH1 3QX,\N,None,\N,\N,\N,426528,541088,54.764029,-1.589246
574868,NE12 8SF,\N,None,\N,\N,\N,426528,568729,55.012414,-1.586713
574869,SP11 9SR,\N,None,\N,\N,\N,426529,150821,51.255941,-1.621229
574870,LS12 3LD,\N,None,\N,\N,\N,426529,433683,53.79878,-1.598715
574871,DL3 9QW,\N,None,\N,\N,\N,426529,514681,54.526724,-1.591614
574872,NE9 5SD,\N,None,\N,\N,\N,426529,560679,54.940077,-1.587439
574873,NE12 8QW,\N,None,\N,\N,\N,426529,568448,55.009889,-1.586723
574874,NE23 3FP,\N,None,\N,\N,\N,426529,578646,55.101526,-1.585779
574875,NE63 8JA,\N,None,\N,\N,\N,426529,587475,55.180861,-1.584957
574876,NE65 0EU,\N,None,\N,\N,\N,426529,604352,55.33251,-1.583374
574877,SN6 8PB,\N,None,\N,\N,\N,426530,185152,51.564625,-1.618657
574878,OX7 6LN,\N,None,\N,\N,\N,426530,218707,51.866316,-1.616113
574879,LS16 5AR,\N,None,\N,\N,\N,426530,437605,53.83403,-1.598363
574880,NE8 3TY,\N,None,\N,\N,\N,426530,561856,54.950653,-1.587315
574881,NE6 1AP,\N,None,\N,\N,\N,426530,564124,54.971033,-1.587106
574882,NE23 6NL,\N,None,\N,\N,\N,426530,575171,55.070301,-1.586085
574883,SP11 7EA,\N,None,\N,\N,\N,426531,141128,51.168784,-1.621914
574884,SN6 8NB,\N,None,\N,\N,\N,426531,185128,51.564409,-1.618644
574885,OX7 6JH,\N,None,\N,\N,\N,426531,218289,51.862557,-1.61613
574886,DE65 6HQ,1428862,Low,Town to Street,01/12/2014,No,426531,328384,52.852305,-1.607463
574887,DE65 6HG,1266421,Low,County to Town,01/12/2014,No,426531,328494,52.853294,-1.607454
574888,DL3 0DW,\N,None,\N,\N,\N,426531,516317,54.541426,-1.591437
574889,DH1 4NE,\N,None,\N,\N,\N,426531,543284,54.783763,-1.588999
574890,NE12 8TU,\N,None,\N,\N,\N,426531,568356,55.009062,-1.5867
574891,NE22 5AP,\N,None,\N,\N,\N,426531,581791,55.129786,-1.585455
574892,NE63 8JU,\N,None,\N,\N,\N,426531,587766,55.183476,-1.584898
574893,DE15 9BS,\N,None,\N,\N,\N,426532,322259,52.797246,-1.607944
574894,LS12 4EP,\N,None,\N,\N,\N,426532,431973,53.783411,-1.598816
574895,LS12 3JT,\N,None,\N,\N,\N,426532,433581,53.797863,-1.598678
574896,DL5 7DR,1245802,Low,County to Town,22/12/2013,No,426532,524808,54.617731,-1.590658
574897,NE62 5HS,\N,None,\N,\N,\N,426532,585547,55.163537,-1.585089
574898,SP5 1NN,\N,None,\N,\N,\N,426533,129881,51.067647,-1.622698
574899,LS16 6AS,\N,None,\N,\N,\N,426533,439372,53.849911,-1.598166
574900,NE7 7RE,\N,None,\N,\N,\N,426533,567676,55.002951,-1.586732
574901,NE63 8HN,\N,None,\N,\N,\N,426533,587572,55.181732,-1.584885
574902,B78 1DH,\N,None,\N,\N,\N,426534,303016,52.62428,-1.609453
574903,S36 7JS,\N,None,\N,\N,\N,426534,404589,53.537285,-1.601115
574904,LS27 9AQ,\N,None,\N,\N,\N,426534,427305,53.741456,-1.599185
